Clock Cycle,Probability
0,0.0
1,0.0
2,0.0032982890125747267
3,0.04411461554318697
4,0.13234384662956092
5,0.2631416202844774
6,0.42207792207792205
7,0.5625644197072769
8,0.6867656153370439
9,0.7704596990311277
10,0.9002267573696145
11,0.9338280766852195
12,0.9565038136466708
13,0.9773242630385488
14,0.9863945578231292
15,0.9925788497217068
16,0.9951556380127808
17,0.997423211708926
18,0.9984539270253556
19,0.9989692846835704
20,0.9997938569367141
21,0.9997938569367141
22,0.9997938569367141
23,0.9998969284683571
24,0.9998969284683571
25,0.9998969284683571
26,0.9998969284683571
27,0.9998969284683571
28,0.9998969284683571
29,0.9998969284683571
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
