Clock Cycle,Probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0009276437847866419
5,0.004225932797361369
6,0.018449804164089877
7,0.04390847247990105
8,0.09018759018759019
9,0.14337250051535766
10,0.31405895691609975
11,0.40867862296433727
12,0.5045351473922902
13,0.6336837765409195
14,0.7139764996907854
15,0.7898371469800041
16,0.8476602762317048
17,0.8878581735724593
18,0.9196042053184911
19,0.9380540094825809
20,0.9698000412286126
21,0.9783549783549783
22,0.9852607709750567
23,0.9918573490002062
24,0.9944341372912802
25,0.9969078540507111
26,0.9976293547722119
27,0.9988662131519275
28,0.9993815708101422
29,0.9993815708101422
30,0.9996907854050712
31,0.9997938569367141
32,0.9997938569367141
33,0.9998969284683571
34,0.9998969284683571
35,0.9998969284683571
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
