Clock Cycle,Probability
0,0.0
2,0.0
4,0.0012368583797155227
6,0.018449804164089877
8,0.08998144712430427
10,0.3094207379921666
12,0.49701092558235416
14,0.7066584209441352
16,0.8384869099154814
18,0.9108431251288394
20,0.9695938981653267
22,0.9858792001649145
24,0.9955679241393527
26,0.9985569985569985
28,0.9994846423417852
30,0.9997938569367141
32,1.0
34,1.0
36,1.0
38,1.0
40,1.0
42,1.0
44,1.0
46,1.0
48,1.0
50,1.0
52,1.0
54,1.0
56,1.0
58,1.0
60,1.0
62,1.0
64,1.0
66,1.0
68,1.0
70,1.0
72,1.0
74,1.0
76,1.0
78,1.0
80,1.0
82,1.0
84,1.0
86,1.0
88,1.0
90,1.0
92,1.0
94,1.0
96,1.0
98,1.0
