Clock Cycle,Probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.00010307153164296021
9,0.00020614306328592042
10,0.0006184291898577613
11,0.0015460729746444033
12,0.004019789734075448
13,0.013090084518655946
14,0.023088023088023088
15,0.040300968872397445
16,0.06751185322613894
17,0.09760874046588332
18,0.13667285095856524
19,0.1751185322613894
20,0.2837559266130695
21,0.34642341785198927
22,0.411976911976912
23,0.5069057926200783
24,0.5728715728715729
25,0.6403834260977118
26,0.7007833436404864
27,0.7465471036899608
28,0.7958152958152959
29,0.8303442589156875
30,0.8954854669140383
31,0.9155844155844156
32,0.9332096474953617
33,0.953205524634096
34,0.9666048237476809
35,0.9752628324056896
36,0.9815501958359101
37,0.9862914862914863
38,0.9894867037724181
39,0.992269635126778
40,0.9957740672026386
