0, 0

1707, 0
1708, 4.94065645841247E-324
1709, 9.88131291682493E-324
1710, 1.48219693752374E-323
1711, 3.45845952088873E-323
1712, 7.90505033345994E-323
1713, 1.53160350210786E-322
1714, 2.86558074587923E-322
1715, 4.94065645841247E-322
1716, 8.59674223763769E-322
1717, 1.43279037293961E-321
1718, 2.39127772587163E-321
1719, 3.93770319735473E-321
1720, 6.44261602176985E-321
1721, 1.05186575999601E-320
1722, 1.7104552659024E-320
1723, 2.77714299527365E-320
1724, 4.5039024274888E-320
1725, 7.30179617988778E-320
1726, 1.18299078240228E-319
1727, 1.91509725640984E-319
1728, 3.09868091758713E-319
1729, 5.01091259325109E-319
1730, 8.09921813227555E-319
1731, 1.30850815972825E-318
1732, 2.11298536953863E-318
1733, 3.41050550930337E-318
1734, 5.50225593738375E-318
1735, 8.87288046775482E-318
1736, 1.43018565885474E-317
1737, 2.30422731159957E-317
1738, 3.71075858952837E-317
1739, 5.97317707804557E-317
1740, 9.61067413141166E-317
1741, 1.54564049998499E-316
1742, 2.48467475921048E-316
1743, 3.99243060191175E-316
1744, 6.41227787138041E-316
1745, 1.02942504144777E-315
1746, 1.65190433177813E-315
1747, 2.64961719663143E-315
1748, 4.2480514764553E-315
1749, 6.80777379937514E-315
1750, 1.09050958718762E-314
1751, 1.74607621123374E-314
1752, 2.79451567340614E-314
1753, 4.47053873123713E-314
1754, 7.1486402332841E-314
1755, 1.14260888320677E-313
1756, 1.82550335261833E-313
1757, 2.9152705415987E-313
1758, 4.653573635961E-313
1759, 7.42516517179366E-313
1760, 1.18423462374736E-312
1761, 1.88791223504723E-312
1762, 3.00842065413906E-312
1763, 4.79190653594353E-312
1764, 7.62941842686108E-312
1765, 1.21419418357495E-311
1766, 1.93151809626508E-311
1767, 3.07130985355412E-311
1768, 4.88160912206066E-311
1769, 7.7556318508219E-311
1770, 1.231647646364E-310
1771, 1.95510994762817E-310
1772, 3.10221285846224E-310
1773, 4.92025941239371E-310
1774, 7.80046874643433E-310
1775, 1.23614662661939E-309
1776, 1.95810580176425E-309
1777, 3.10041258910057E-309
1778, 4.90704783531114E-309
1779, 7.7631654972015E-309
1780, 1.22765246614321E-308
1781, 1.94057471549342E-308
1782, 3.06622426918916E-308
1783, 4.84279820855749E-308
1784, 7.64553752878407E-308
1785, 1.20653286718369E-307
1786, 1.90322466115831E-307
1787, 3.00096553389647E-307
1788, 4.72990365486898E-307
1789, 7.45185165509484E-307
1790, 1.17353760037099E-306
1791, 1.84735772686164E-306
1792, 2.90687568574795E-306
1793, 4.57218361916004E-306
1794, 7.18857641376127E-306
1795, 1.12975540907048E-305
1796, 1.77479644118975E-305
1797, 2.78699077479683E-305
1798, 4.37467357171632E-305
1799, 6.86403026594037E-305
1800, 1.07655548753873E-304
1801, 1.6877869144078E-304
1802, 2.64498402652681E-304
1803, 4.14336322883695E-304
1804, 6.48795382521716E-304
1805, 1.0155178342459E-303
1806, 1.58888583288881E-303
1807, 2.4849830770074E-303
1808, 3.88490187371573E-303
1809, 6.07103612854459E-303
1810, 9.48357309227385E-303
1811, 1.48083904762698E-302
1812, 2.31137638038324E-302
1813, 3.60629046163874E-302
1814, 5.62442617966413E-302
1815, 8.76846334156789E-302
1816, 1.36645954139517E-301
1817, 2.12862101945844E-301
1818, 3.3145796640234E-301
1819, 5.15925966568146E-301
1820, 8.0274088743619E-301
1821, 1.24851198905683E-300
1822, 1.94106306917317E-300
1823, 3.01659102266896E-300
1824, 4.68622719596256E-300
1825, 7.27713822271683E-300
1826, 1.12961004414436E-299
1827, 1.75277981231889E-299
1828, 2.71867525142101E-299
1829, 4.21520515058689E-299
1830, 6.53298659052649E-299
1831, 1.01213103423779E-298
1832, 1.56745072128937E-298
1833, 2.42651782116678E-298
1834, 3.75496387821896E-298
1835, 5.80845975557875E-298
1836, 8.98151090855896E-298
1837, 1.38826146010997E-297
1838, 2.14499771207083E-297
1839, 3.31296121148853E-297
1840, 5.11493444049149E-297
1841, 7.89402040914735E-297
1842, 1.21784248502959E-296
1843, 1.87810101612819E-296
1844, 2.89522269611745E-296
1845, 4.46149539745095E-296
1846, 6.87249795005182E-296
1847, 1.05824135751091E-295
1848, 1.62888727115123E-295
1849, 2.50630408592225E-295
1850, 3.85490050202971E-295
1851, 5.92692602491733E-295
1852, 9.10925809199242E-295
1853, 1.39950326920939E-294
1854, 2.14932692960459E-294
1855, 3.2996580675319E-294
1856, 5.06376487190984E-294
1857, 7.76813032425948E-294
1858, 1.19123677516099E-293
1859, 1.8260746991746E-293
1860, 2.7981956904023E-293
1861, 4.28624472363926E-293
1862, 6.56319666292959E-293
1863, 1.00460118056892E-292
1864, 1.53713495835712E-292
1865, 2.35109728969909E-292
1866, 3.59475853796014E-292
1867, 5.49426502248738E-292
1868, 8.39441579668592E-292
1869, 1.28207247622685E-291
1870, 1.95738446515408E-291
1871, 2.98731756043388E-291
1872, 4.55751989796177E-291
1873, 6.9505298760467E-291
1874, 1.05961877939475E-290
1875, 1.61481955961462E-290
1876, 2.46003456336608E-290
1877, 3.74629092378972E-290
1878, 5.70302275473949E-290
1879, 8.67865153505565E-290
1880, 1.3202104571851E-289
1881, 2.00760415087255E-289
1882, 3.05180814777697E-289
1883, 4.63746692508454E-289
1884, 7.04448263019728E-289
1885, 1.06970071599477E-288
1886, 1.6237553777042E-288
1887, 2.4639067961136E-288
1888, 3.73743398294482E-288
1889, 5.66720066579553E-288
1890, 8.59032668650251E-288
1891, 1.30165839033181E-287
1892, 1.97165461168501E-287
1893, 2.985460658681E-287
