Clock Cycle,Probability
0,0.0
2,0.021438878581735724
4,0.3132343846629561
6,0.6131725417439703
8,0.8225108225108225
10,0.9238301381158524
12,0.968769325912183
14,0.9878375592661307
16,0.9954648526077098
18,0.9981447124304267
20,0.9986600700886415
22,0.9991754277468563
24,0.9991754277468563
26,0.9991754277468563
28,0.9992784992784993
30,0.9993815708101422
32,0.9994846423417852
34,0.9995877138734282
36,0.9995877138734282
38,0.9995877138734282
40,0.9995877138734282
42,0.9995877138734282
44,0.9995877138734282
46,0.9995877138734282
48,0.9995877138734282
50,0.9995877138734282
