Clock Cycle,Probability
0,0.0
2,0.2741702741702742
4,0.6784168212739641
6,0.8768295196866626
8,0.955885384456813
10,0.9855699855699855
12,0.9956709956709957
14,0.9985569985569985
16,0.9993815708101422
18,0.9996907854050712
20,0.9996907854050712
22,0.9996907854050712
24,0.9997938569367141
26,0.9997938569367141
28,0.9997938569367141
30,0.9997938569367141
32,0.9997938569367141
34,0.9997938569367141
36,0.9997938569367141
38,0.9997938569367141
40,0.9997938569367141
42,0.9997938569367141
44,0.9997938569367141
46,0.9997938569367141
48,0.9997938569367141
50,0.9997938569367141
