Clock Cycle,Probability
0,0.0
2,0.0
4,0.005668934240362812
6,0.06256441970727684
8,0.22088229231086373
10,0.43197278911564624
12,0.6354359925788498
14,0.7833436404864976
16,0.870439084724799
18,0.9216656359513502
20,0.9502164502164502
22,0.9667078952793239
24,0.9759843331271902
26,0.9807256235827665
28,0.9835085549371264
30,0.9849515563801278
32,0.9859822716965574
34,0.9872191300762729
36,0.9875283446712018
38,0.9881467738610595
40,0.9886621315192744
42,0.9889713461142032
44,0.9893836322407751
46,0.989589775304061
48,0.989589775304061
50,0.989589775304061
