Clock Cycle,Probability
0,0.0
2,0.0
4,0.00463821892393321
6,0.017419088847660275
8,0.01875901875901876
10,0.01875901875901876
12,0.0393733250876108
14,0.10853432282003711
16,0.1704803133374562
18,0.17738610595753454
20,0.17759224902082044
22,0.23922902494331066
24,0.3578643578643579
26,0.4422799422799423
28,0.45021645021645024
30,0.45042259327973616
32,0.5138115852401567
34,0.6195629767058338
36,0.6817151102865389
38,0.6876932591218305
40,0.6881055452484024
42,0.7349000206143064
44,0.8063285920428778
46,0.8438466295609153
48,0.8494124922696351
50,0.8495155638012781
52,0.8743558029272315
54,0.9125953411667698
56,0.9320758606472892
58,0.9338280766852195
60,0.9338280766852195
62,0.9464028035456606
64,0.9625850340136054
66,0.9705215419501134
68,0.9714491857349
70,0.9715522572665429
72,0.9762935477221192
74,0.9855699855699855
76,0.9894867037724181
78,0.989589775304061
80,0.989589775304061
82,0.9915481344052772
84,0.9943310657596371
86,0.9958771387342816
88,0.9960832817975676
90,0.9960832817975676
92,0.9965986394557823
94,0.9975262832405689
96,0.9985569985569985
98,0.9985569985569985
100,0.9989692846835704
102,0.9992784992784993
104,0.9992784992784993
106,0.9995877138734282
108,0.9995877138734282
110,0.9995877138734282
112,0.9996907854050712
114,0.9996907854050712
116,0.9996907854050712
118,0.9997938569367141
120,0.9997938569367141
122,0.9997938569367141
124,1.0
126,1.0
128,1.0
130,1.0
132,1.0
134,1.0
136,1.0
138,1.0
140,1.0
142,1.0
144,1.0
146,1.0
148,1.0
150,1.0
152,1.0
154,1.0
156,1.0
158,1.0
160,1.0
162,1.0
164,1.0
166,1.0
168,1.0
170,1.0
172,1.0
174,1.0
176,1.0
178,1.0
180,1.0
182,1.0
184,1.0
186,1.0
188,1.0
190,1.0
192,1.0
194,1.0
196,1.0
198,1.0
