Clock Cycle,Probability
0,0.0
1,0.0
2,0.1099868593955322
3,0.7796138996138996
4,0.9345454545454546
5,0.9496221662468514
6,0.9537837837837838
7,0.9551246537396122
8,0.9552777777777778
9,0.9552777777777778
10,0.9552777777777778
11,0.9936842105263158
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
