Clock Cycle,Probability
0,0.0
4,0.0
8,0.0
12,0.0
16,0.0007215007215007215
20,0.0010307153164296021
24,0.007111935683364255
28,0.016079158936301793
32,0.026386312100597813
36,0.07431457431457432
40,0.07802514945372088
44,0.15141207998350856
48,0.19944341372912802
52,0.24232117089259947
56,0.38198309626881055
60,0.3890950319521748
64,0.5074211502782932
68,0.564625850340136
72,0.6028653885796743
76,0.7238713667285096
80,0.7289218717790147
84,0.8132343846629561
88,0.8424036281179138
92,0.8635332921047206
96,0.9132137703566275
100,0.9154813440527726
104,0.9469181612038755
108,0.9569160997732427
112,0.9646464646464646
116,0.979282622139765
120,0.9803133374561946
124,0.9893836322407751
128,0.9917542774685632
132,0.9929911358482787
136,0.9967017109874253
140,0.9967017109874253
144,0.9981447124304267
148,0.9984539270253556
152,0.9987631416202845
156,0.9991754277468563
160,0.9991754277468563
164,0.9994846423417852
168,0.9994846423417852
172,0.9994846423417852
176,0.9997938569367141
180,0.9997938569367141
184,0.9997938569367141
188,0.9997938569367141
192,0.9998969284683571
196,0.9998969284683571
200,1.0
204,1.0
208,1.0
212,1.0
216,1.0
220,1.0
224,1.0
228,1.0
232,1.0
236,1.0
240,1.0
244,1.0
248,1.0
252,1.0
256,1.0
260,1.0
264,1.0
268,1.0
272,1.0
276,1.0
280,1.0
284,1.0
288,1.0
292,1.0
296,1.0
300,1.0
304,1.0
308,1.0
312,1.0
316,1.0
320,1.0
324,1.0
328,1.0
332,1.0
336,1.0
340,1.0
344,1.0
348,1.0
352,1.0
356,1.0
360,1.0
364,1.0
368,1.0
372,1.0
376,1.0
380,1.0
384,1.0
388,1.0
392,1.0
396,1.0
