Clock Cycle,Probability
0,0.0
1,0.0
2,0.0
3,0.00030921459492888067
4,0.011440940012368584
5,0.02329416615130901
6,0.026695526695526696
7,0.027107812822098537
8,0.027210884353741496
9,0.027210884353741496
10,0.027313955885384458
11,0.160585446299732
12,0.720263863121006
13,0.9565038136466708
14,0.9866007008864152
15,0.989589775304061
16,0.9902082044939188
17,0.9902082044939188
18,0.9902082044939188
19,0.9902082044939188
20,0.9902082044939188
21,0.9978354978354979
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
