Clock Cycle,Probability
0,0.0
1,0.27262420119562975
2,0.5141207998350855
3,0.5529787672644816
4,0.5529787672644816
5,0.5529787672644816
6,0.5529787672644816
7,0.5529787672644816
8,0.5529787672644816
9,0.5529787672644816
10,0.5529787672644816
11,0.6716141001855288
12,0.7794269222840652
13,0.8016903731189445
14,0.8016903731189445
15,0.8016903731189445
16,0.8016903731189445
17,0.8016903731189445
18,0.8016903731189445
19,0.8016903731189445
20,0.8016903731189445
21,0.8568336425479283
22,0.9002267573696145
23,0.9096062667491239
24,0.9096062667491239
25,0.9096062667491239
26,0.9096062667491239
27,0.9096062667491239
28,0.9096062667491239
29,0.9096062667491239
30,0.9096062667491239
31,0.9367140795712224
32,0.9592867450010307
33,0.9642341785198928
34,0.9642341785198928
35,0.9642341785198928
36,0.9642341785198928
37,0.9642341785198928
38,0.9642341785198928
39,0.9642341785198928
40,0.9642341785198928
41,0.974025974025974
42,0.9833024118738405
43,0.9849515563801278
44,0.9849515563801278
45,0.9849515563801278
46,0.9849515563801278
47,0.9849515563801278
48,0.9849515563801278
49,0.9849515563801278
50,0.9836116264687693
51,0.9881467738610595
52,0.9927849927849928
53,0.9939187796330653
54,0.9939187796330653
55,0.9939187796330653
56,0.9939187796330653
57,0.9939187796330653
58,0.9939187796330653
59,0.9939187796330653
60,0.9939187796330653
61,0.9954648526077098
62,0.9972170686456401
63,0.9975262832405689
64,0.9975262832405689
65,0.9975262832405689
66,0.9975262832405689
67,0.9975262832405689
68,0.9975262832405689
69,0.9975262832405689
70,0.9975262832405689
71,0.9979385693671408
72,0.9987631416202845
73,0.9988662131519275
74,0.9988662131519275
75,0.9988662131519275
76,0.9988662131519275
77,0.9988662131519275
78,0.9988662131519275
79,0.9988662131519275
80,0.9988662131519275
81,0.9992784992784993
82,0.9994846423417852
83,0.9995877138734282
84,0.9995877138734282
85,0.9995877138734282
86,0.9995877138734282
87,0.9995877138734282
88,0.9995877138734282
89,0.9995877138734282
90,0.9995877138734282
91,0.9995877138734282
92,0.9998969284683571
93,0.9998969284683571
94,0.9998969284683571
95,0.9998969284683571
96,0.9998969284683571
97,0.9998969284683571
98,0.9998969284683571
99,0.9998969284683571
100,0.9998969284683571
101,0.9998969284683571
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
