Clock Cycle,Probability
0,0.0
30,0.0
60,0.0
90,0.0
120,0.0
150,0.0
180,0.0
210,0.0
240,0.0
270,0.0
300,0.0
330,0.0
360,0.0
390,0.0
420,0.0
450,0.0
480,0.001639344262295082
510,0.001639344262295082
540,0.005555555555555556
570,0.009917355371900827
600,0.009917355371900827
630,0.017977528089887642
660,0.01891891891891892
690,0.022748815165876776
720,0.032
750,0.046505376344086025
780,0.0586283185840708
810,0.07058823529411765
840,0.08388157894736842
870,0.09985795454545454
900,0.1177860696517413
930,0.1386041439476554
960,0.15678889990089198
990,0.1820353982300885
1020,0.2021311475409836
1050,0.2263836239575436
1080,0.25145081387119605
1110,0.2774150566289141
1140,0.3047378395451674
1170,0.3337960168980085
1200,0.36380011621150493
1230,0.39225988700564973
1260,0.4220807969009408
1290,0.45065502183406114
1320,0.477807921866522
1350,0.5047696476964769
1380,0.5329891304347826
1410,0.5621844127332601
1440,0.587750556792873
1470,0.6155947638019351
1500,0.6473219540906415
1530,0.6715501519756839
1560,0.6933879093198992
1590,0.7158344283837057
1620,0.73559670781893
1650,0.7544540229885057
1680,0.7737680060652009
1710,0.7923572003218021
1740,0.8082623509369676
1770,0.8282809611829944
1800,0.8419704433497537
1830,0.8563096500530223
1860,0.8705069124423963
1890,0.8802453987730061
1920,0.8901315789473684
1950,0.9002844950213371
1980,0.9113029827315542
2010,0.9185497470489039
2040,0.9269372693726937
2070,0.935030549898167
2100,0.9440092165898617
2130,0.950253807106599
2160,0.9570200573065902
2190,0.9618296529968454
2220,0.9660899653979239
2250,0.9694339622641509
2280,0.9709803921568627
2310,0.9732217573221758
2340,0.9772511848341232
2370,0.9792929292929293
2400,0.9814207650273225
2430,0.9837349397590361
2460,0.986
2490,0.9863945578231292
2520,0.9890625
2550,0.9936842105263158
2580,0.9936842105263158
2610,0.9936842105263158
2640,0.9936842105263158
2670,0.9944444444444445
2700,0.9971428571428571
2730,1.0
2760,1.0
2790,1.0
2820,1.0
2850,1.0
2880,1.0
2910,1.0
2940,1.0
2970,1.0
