Clock Cycle,Probability
0,0.0
36,0.0
72,0.0
108,0.0
144,0.0
180,0.0
216,0.0
252,0.0
288,0.00010307153164296021
324,0.00020614306328592042
360,0.00020614306328592042
396,0.00030921459492888067
432,0.0005153576582148011
468,0.0021645021645021645
504,0.003916718202432488
540,0.005875077303648732
576,0.009997938569367142
612,0.014017728303442589
648,0.021748093176664606
684,0.030199958771387342
720,0.040300968872397445
756,0.05328798185941043
792,0.06472892187177902
828,0.08534322820037106
864,0.10770975056689343
900,0.12729334157905586
936,0.1549165120593692
972,0.17450010307153163
1008,0.20212327355184498
1044,0.23283858998144713
1080,0.259121830550402
1116,0.2941661513090085
1152,0.321273964131107
1188,0.35837971552257264
1224,0.39806225520511235
1260,0.4270253555967842
1296,0.46413110698824983
1332,0.4940218511647083
1368,0.533498247783962
1404,0.5705009276437848
1440,0.5970933828076685
1476,0.6356421356421357
1512,0.6575963718820862
1548,0.6892393320964749
1584,0.7206761492475778
1620,0.7388167388167388
1656,0.76705833848691
1692,0.7851989280560709
1728,0.8104514533085961
1764,0.8352916924345496
1800,0.8458049886621315
1836,0.8615749330035044
1872,0.8728097299525871
1908,0.8882704596990312
1944,0.90146361574933
1980,0.9112554112554112
2016,0.9241393527107813
2052,0.9333127190270047
2088,0.9416615130900845
2124,0.950731807874665
2160,0.9548546691403834
2196,0.9616573902288188
2232,0.9663986806843949
2268,0.9703153988868275
2304,0.9736136878994022
2340,0.976911976911977
2376,0.9808286951144094
2412,0.9825809111523397
2448,0.9854669140383426
2484,0.9874252731395589
2520,0.9890744176458462
2556,0.9909297052154195
2592,0.992166563595135
2628,0.9935064935064936
2664,0.9946402803545661
2700,0.9950525664811379
2736,0.9956709956709957
2772,0.9961863533292105
2808,0.9967017109874253
2844,0.9970109255823542
2880,0.9976293547722119
2916,0.9983508554937126
2952,0.9985569985569985
2988,0.9988662131519275
3024,0.9989692846835704
3060,0.9990723562152134
3096,0.9991754277468563
3132,0.9993815708101422
3168,0.9994846423417852
3204,0.9995877138734282
3240,0.9996907854050712
3276,0.9996907854050712
3312,0.9996907854050712
3348,0.9996907854050712
3384,0.9996907854050712
3420,0.9997938569367141
3456,0.9997938569367141
3492,0.9998969284683571
3528,0.9998969284683571
3564,0.9998969284683571
3600,0.9998969284683571
3636,0.9998969284683571
3672,0.9998969284683571
3708,0.9998969284683571
3744,1.0
3780,1.0
3816,1.0
3852,1.0
3888,1.0
3924,1.0
3960,1.0
3996,1.0
4032,1.0
4068,1.0
4104,1.0
4140,1.0
4176,1.0
4212,1.0
4248,1.0
4284,1.0
4320,1.0
4356,1.0
4392,1.0
4428,1.0
4464,1.0
4500,1.0
4536,1.0
4572,1.0
4608,1.0
4644,1.0
4680,1.0
4716,1.0
4752,1.0
4788,1.0
4824,1.0
4860,1.0
4896,1.0
4932,1.0
4968,1.0
5004,1.0
5040,1.0
5076,1.0
5112,1.0
5148,1.0
5184,1.0
5220,1.0
5256,1.0
5292,1.0
5328,1.0
5364,1.0
