Clock Cycle,Probability
0,0.0
1,0.0
2,0.3432282003710575
3,0.7164502164502164
4,0.7768501339929912
5,0.7820037105751392
6,0.7830344258915688
7,0.7832405689548547
8,0.7832405689548547
9,0.7832405689548547
10,0.7832405689548547
11,0.9224902082044939
12,0.9909297052154195
13,0.9984539270253556
14,0.9986600700886415
15,0.9987631416202845
16,0.9988662131519275
17,0.9988662131519275
18,0.9988662131519275
19,0.9988662131519275
20,0.9988662131519275
21,0.9995877138734282
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
