Clock Cycle,Probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.00020614306328592042
14,0.0008245722531436817
15,0.0010307153164296021
16,0.0011337868480725624
17,0.0011337868480725624
18,0.0011337868480725624
19,0.0011337868480725624
20,0.0011337868480725624
21,0.007833436404864976
22,0.0898783755926613
23,0.22170686456400743
24,0.2588126159554731
25,0.26334776334776333
26,0.2636569779426922
27,0.2637600494743352
28,0.2637600494743352
29,0.2637600494743352
30,0.2637600494743352
31,0.43125128839414556
32,0.7238713667285096
33,0.852195423623995
34,0.8713667285095856
35,0.8736343022057308
36,0.8738404452690167
37,0.8739435168006596
38,0.8739435168006596
39,0.8739435168006596
40,0.8739435168006596
41,0.9335188620902907
42,0.9827870542156256
43,0.9938157081014224
44,0.9950525664811379
45,0.9950525664811379
46,0.9950525664811379
47,0.9950525664811379
48,0.9950525664811379
49,0.9950525664811379
50,0.9945372088229231
51,0.9978354978354979
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
