Clock Cycle,Probability
0,0.0
1,0.0
2,0.0
3,0.006493506493506494
4,0.01432694289837147
5,0.016079158936301793
6,0.016182230467944755
7,0.016182230467944755
8,0.016182230467944755
9,0.016182230467944755
10,0.016182230467944755
11,0.12007833436404865
12,0.5477221191506906
13,0.7790146361574933
14,0.8155019583591012
15,0.8196248196248196
16,0.8202432488146774
17,0.8202432488146774
18,0.8202432488146774
19,0.8202432488146774
20,0.8202432488146774
21,0.919707276850134
22,0.9859822716965574
23,0.9956709956709957
24,0.9969078540507111
25,0.9971139971139971
26,0.9971139971139971
27,0.9971139971139971
28,0.9971139971139971
29,0.9971139971139971
30,0.9971139971139971
31,0.9989692846835704
32,0.9998969284683571
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
