CLK_UPPER,RESISTIVE_NOISE_THRESH,INDUCTIVE_NOISE_THRESH,resistiveNoiseProbability,inductiveNoiseProbability
160,5,5,1,0.004761904761904762
163,5,5,0.9971428571428571,0.0038461538461538464
166,5,5,1,0.009401709401709401
169,5,5,0.9983606557377049,0.008849557522123894
172,5,5,0.9961538461538462,0.004761904761904762
175,5,5,1,0.008256880733944955
178,5,5,1,0.00631578947368421
181,5,5,1,0.008256880733944955
184,5,5,1,0.008849557522123894
187,5,5,1,0.009917355371900827
190,5,5,1,0.01276595744680851
193,5,5,1,0.012318840579710146
196,5,5,1,0.015527950310559006
199,5,5,1,0.012318840579710146
202,5,5,1,0.013194444444444444
205,5,5,1,0.016265060240963854
208,5,5,1,0.015189873417721518
211,5,5,1,0.0109375
214,5,5,1,0.01437908496732026
217,5,5,1,0.016568047337278107
220,5,5,1,0.02070707070707071
223,5,5,1,0.022488038277511963
226,5,5,1,0.020207253886010364
229,5,5,1,0.018579234972677595
232,5,5,1,0.019895287958115182
235,5,5,1,0.02606837606837607
238,5,5,1,0.02554112554112554
241,5,5,1,0.023744292237442923
244,5,5,1,0.0322463768115942
247,5,5,1,0.033797909407665506
250,5,5,1,0.027642276422764227
253,5,5,1,0.02606837606837607
256,5,5,1,0.0408955223880597
259,5,5,1,0.03729903536977492
262,5,5,1,0.04054054054054054
265,5,5,1,0.04804177545691906
268,5,5,1,0.04362606232294618
271,5,5,1,0.044257703081232495
274,5,5,1,0.04265129682997118
277,5,5,1,0.04923076923076923
280,5,5,1,0.05087281795511222
283,5,5,1,0.047493403693931395
286,5,5,1,0.054694835680751175
289,5,5,1,0.054373522458628844
292,5,5,1,0.0544811320754717
295,5,5,1,0.06803921568627451
298,5,5,1,0.06419753086419754
301,5,5,1,0.06239495798319328
304,5,5,1,0.07028571428571428
307,5,5,1,0.07311233885819521
310,5,5,1,0.06998087954110899
313,5,5,1,0.07567084078711986
316,5,5,1,0.08061224489795918
319,5,5,1,0.08190954773869347
322,5,5,1,0.078719723183391
325,5,5,1,0.08748019017432647
328,5,5,1,0.08040885860306644
331,5,5,1,0.08311258278145696
334,5,5,1,0.0951111111111111
337,5,5,1,0.10028368794326241
340,5,5,1,0.10518417462482947
343,5,5,1,0.0988522238163558
346,5,5,1,0.10737265415549598
349,5,5,1,0.10825565912117177
352,5,5,1,0.1074966532797858
355,5,5,1,0.11641604010025063
358,5,5,1,0.11450381679389313
361,5,5,1,0.11392081736909324
364,5,5,1,0.1270175438596491
367,5,5,1,0.12314148681055156
370,5,5,1,0.12759022118742724
373,5,5,1,0.12672919109026964
376,5,5,1,0.13871319520174483
379,5,5,1,0.13736263736263737
382,5,5,1,0.13470982142857144
385,5,5,1,0.15061349693251533
388,5,5,1,0.14824016563146997
391,5,5,1,0.14824016563146997
394,5,5,1,0.15372233400402416
397,5,5,1,0.16046738072054528
400,5,5,1,0.1661611374407583
403,5,5,1,0.1588235294117647
406,5,5,1,0.17452054794520547
409,5,5,1,0.16716981132075473
412,5,5,1,0.17150786308973173
415,5,5,1,0.18578901482127289
418,5,5,1,0.1807829181494662
421,5,5,1,0.18597560975609756
424,5,5,1,0.1891566265060241
427,5,5,1,0.1937447168216399
430,5,5,1,0.19800332778702162
433,5,5,1,0.1974979149291076
436,5,5,1,0.2105179282868526
439,5,5,1,0.21484681853888452
442,5,5,1,0.2107484076433121
445,5,5,1,0.22545592705167172
448,5,5,1,0.22015444015444016
451,5,5,1,0.22467631378522468
454,5,5,1,0.23306092124814265
457,5,5,1,0.2384333821376281
460,5,5,1,0.23510716925351072
463,5,5,1,0.2404952658412236
466,5,5,1,0.2475339528234453
469,5,5,1,0.256533892382949
472,5,5,1,0.25081502480510276
475,5,5,1,0.26162870945479644
478,5,5,1,0.2662798634812287
481,5,5,1,0.26380494505494506
484,5,5,1,0.2733198924731183
487,5,5,1,0.2663481228668942
490,5,5,1,0.27650200267022695
493,5,5,1,0.27734843437708195
496,5,5,1,0.2891417425227568
499,5,5,1,0.2900713822193381
502,5,5,1,0.28639633747547416
505,5,5,1,0.3043643263757116
508,5,5,1,0.3049905243209097
511,5,5,1,0.301715374841169
514,5,5,1,0.31435674331883157
517,5,5,1,0.3192473781616286
520,5,5,1,0.3231146535867566
523,5,5,1,0.32192874692874696
526,5,5,1,0.33176043557168783
529,5,5,1,0.33641826923076923
532,5,5,1,0.33066666666666666
535,5,5,1,0.3462908011869436
538,5,5,1,0.34363095238095237
541,5,5,1,0.3458432304038005
544,5,5,1,0.3589369158878505
547,5,5,1,0.3714861751152074
550,5,5,1,0.3640534262485482
553,5,5,1,0.3619324796274738
556,5,5,1,0.37531572904707233
559,5,5,1,0.3783752860411899
562,5,5,1,0.3807538549400343
565,5,5,1,0.3901472253680634
568,5,5,1,0.39174674957603167
571,5,5,1,0.39185980780101753
574,5,5,1,0.398875772906127
577,5,5,1,0.4070391061452514
580,5,5,1,0.4091466815393196
583,5,5,1,0.4034173669467787
586,5,5,1,0.41961218836565095
589,5,5,1,0.4260077305356157
592,5,5,1,0.41302170283806344
595,5,5,1,0.4335349092908191
598,5,5,1,0.434414513468939
601,5,5,1,0.43126031920748487
