CLK_UPPER,RESISTIVE_NOISE_THRESH,INDUCTIVE_NOISE_THRESH,resistiveNoiseProbability,inductiveNoiseProbability
1,5,5,0,0
4,5,5,0,0
7,5,5,0,0
10,5,5,0,0
13,5,5,0.016265060240963854,0
16,5,5,0.014743589743589743,0
19,5,5,0.01695906432748538,0
22,5,5,0.02945736434108527,0
25,5,5,0.09092307692307693,0
28,5,5,0.09193302891933029,0
31,5,5,0.08692185007974482,0
34,5,5,0.22038610038610038,0
37,5,5,0.21447678992918962,0
40,5,5,0.2170826833073323,0
43,5,5,0.3670526925303995,0
46,5,5,0.38837868480725624,0
49,5,5,0.3849829351535836,0
52,5,5,0.4496450027307482,0
55,5,5,0.5505734571272529,0
58,5,5,0.5433242506811989,0
61,5,5,0.5451472191930207,0
64,5,5,0.6942586750788644,0
67,5,5,0.6877105427323768,0
70,5,5,0.6829826732673268,0
73,5,5,0.7876484560570072,0
76,5,5,0.7904076738609113,0
79,5,5,0.7933764135702747,0
82,5,5,0.8298604651162791,0
85,5,5,0.8718097447795824,0
88,5,5,0.8791717417783191,0
91,5,5,0.8703107019562716,0
94,5,5,0.916887417218543,0
97,5,5,0.9177257525083612,0
100,5,5,0.92,0
103,5,5,0.957183908045977,0
106,5,5,0.9506393861892584,0.001639344262295082
109,5,5,0.9523684210526315,0.001639344262295082
112,5,5,0.9646464646464646,0
115,5,5,0.977511961722488,0
118,5,5,0.970703125,0.001639344262295082
121,5,5,0.9746724890829694,0
124,5,5,0.9834319526627219,0.001639344262295082
127,5,5,0.986,0
130,5,5,0.986,0.001639344262295082
133,5,5,0.9911504424778761,0.001639344262295082
136,5,5,0.9917431192660551,0.002857142857142857
139,5,5,0.9936842105263158,0.00631578947368421
142,5,5,0.9961538461538462,0
145,5,5,1,0.005555555555555556
148,5,5,1,0.002857142857142857
151,5,5,0.9983606557377049,0.004761904761904762
154,5,5,0.9971428571428571,0.002857142857142857
157,5,5,1,0.004761904761904762
