CLK_UPPER,RESISTIVE_NOISE_THRESH,INDUCTIVE_NOISE_THRESH,resistiveNoiseProbability,inductiveNoiseProbability
1,20,20,0,0
5,20,20,0,0
9,20,20,0,0
13,20,20,0,0
17,20,20,0,0
21,20,20,0,0
25,20,20,0,0
29,20,20,0,0
33,20,20,0,0
37,20,20,0,0
41,20,20,0,0
45,20,20,0,0
49,20,20,0,0
53,20,20,0,0
57,20,20,0,0
61,20,20,0,0
65,20,20,0,0
69,20,20,0,0
73,20,20,0,0
77,20,20,0,0
81,20,20,0,0
85,20,20,0,0
89,20,20,0,0
93,20,20,0,0
97,20,20,0,0
101,20,20,0,0
105,20,20,0,0
109,20,20,0.001639344262295082,0
113,20,20,0.004761904761904762,0
117,20,20,0.001639344262295082,0
121,20,20,0.001639344262295082,0
125,20,20,0.001639344262295082,0
129,20,20,0,0
133,20,20,0.005555555555555556,0
137,20,20,0.007,0
141,20,20,0.008849557522123894,0
145,20,20,0.023004694835680753,0
149,20,20,0.02554112554112554,0
153,20,20,0.0284,0
157,20,20,0.03513513513513514,0
161,20,20,0.033215547703180213,0
165,20,20,0.06348547717842323,0
169,20,20,0.06297071129707113,0
173,20,20,0.09526627218934912,0
177,20,20,0.10250696378830083,0
181,20,20,0.0988522238163558,0
185,20,20,0.15357502517623364,0
189,20,20,0.15528942115768463,0
193,20,20,0.20622473726758286,0
197,20,20,0.20944,0
201,20,20,0.2085072231139647,0
205,20,20,0.27811044577511645,0
209,20,20,0.28074123097286563,0
213,20,20,0.3474526066350711,0
217,20,20,0.3509144542772861,0
221,20,20,0.34940898345153665,0
225,20,20,0.4341396371632765,0
229,20,20,0.4379253567508233,0
233,20,20,0.5078590785907859,0
237,20,20,0.513929539295393,0
241,20,20,0.5089430894308943,0
245,20,20,0.5877017250973845,0
249,20,20,0.5872008903728436,0
253,20,20,0.6536773428232503,0
257,20,20,0.6578758949880669,0
261,20,20,0.6661436330718166,0
265,20,20,0.7278301886792453,0
269,20,20,0.7256874580818243,0
273,20,20,0.7763761467889908,0
277,20,20,0.779320987654321,0
281,20,20,0.7834375,0
285,20,20,0.8292479108635098,0
289,20,20,0.8300744878957169,0
293,20,20,0.8679138321995464,0
297,20,20,0.8742049469964664,0
301,20,20,0.8672686230248307,0
305,20,20,0.8991525423728813,0
309,20,20,0.904424778761062,0
313,20,20,0.9256363636363636,0
317,20,20,0.9211072664359862,0
321,20,20,0.9277467411545623,0
325,20,20,0.9466507177033493,0
329,20,20,0.9471014492753623,0
333,20,20,0.9614420062695925,0
337,20,20,0.9557422969187676,0
341,20,20,0.9594594594594594,0
345,20,20,0.9716,0
349,20,20,0.9720647773279352,0
353,20,20,0.9820224719101124,0
357,20,20,0.9781553398058253,0
361,20,20,0.9823863636363637,0
365,20,20,0.9841463414634146,0
369,20,20,0.9896,0
373,20,20,0.9911504424778761,0
377,20,20,0.9923809523809524,0
381,20,20,0.9900826446280991,0
385,20,20,0.9983606557377049,0
389,20,20,0.9944444444444445,0
393,20,20,0.9971428571428571,0
397,20,20,0.9961538461538462,0
401,20,20,0.9952380952380953,0
405,20,20,0.9983606557377049,0
409,20,20,0.9971428571428571,0
413,20,20,0.9983606557377049,0
417,20,20,0.9983606557377049,0
421,20,20,0.9952380952380953,0
425,20,20,0.9961538461538462,0
429,20,20,0.9983606557377049,0
433,20,20,0.9983606557377049,0
437,20,20,1,0
441,20,20,1,0
445,20,20,1,0
449,20,20,0.9971428571428571,0
453,20,20,1,0
457,20,20,0.9983606557377049,0
461,20,20,1,0
465,20,20,1,0
469,20,20,1,0
473,20,20,0.9983606557377049,0
477,20,20,1,0
481,20,20,1,0
485,20,20,1,0
489,20,20,0.9983606557377049,0
493,20,20,1,0
497,20,20,1,0
501,20,20,1,0
505,20,20,1,0
509,20,20,1,0
513,20,20,1,0
517,20,20,1,0
521,20,20,1,0
525,20,20,1,0
529,20,20,1,0
533,20,20,1,0
537,20,20,1,0
541,20,20,1,0
545,20,20,1,0
549,20,20,1,0
553,20,20,1,0
557,20,20,1,0
561,20,20,1,0
565,20,20,1,0
569,20,20,1,0
573,20,20,1,0
577,20,20,1,0
581,20,20,1,0
585,20,20,1,0
589,20,20,1,0
593,20,20,1,0
597,20,20,1,0
601,20,20,1,0
