CLK_UPPER,RESISTIVE_NOISE_THRESH,INDUCTIVE_NOISE_THRESH,resistiveNoiseProbability,inductiveNoiseProbability
1,1,1,0,0
4,1,1,0.5626234906695938,0.05050251256281407
7,1,1,0.5527610716238381,0.07088846880907372
10,1,1,0.5541028446389497,0.061241970021413274
13,1,1,0.7913392141138733,0.07172284644194757
16,1,1,0.8143853530950305,0.13329583802024747
19,1,1,0.8074702886247878,0.1406688241639698
22,1,1,0.863716814159292,0.1324660633484163
25,1,1,0.9125596184419714,0.1941772151898734
28,1,1,0.922027972027972,0.20383048084759575
31,1,1,0.9153344208809135,0.19816971713810316
34,1,1,0.9677536231884057,0.2355719557195572
37,1,1,0.9670212765957447,0.25515066573230555
40,1,1,0.9633986928104575,0.2525387870239774
43,1,1,0.9837349397590361,0.2578690807799443
46,1,1,0.9801047120418848,0.30623818525519847
49,1,1,0.9868055555555556,0.3123518402994386
52,1,1,0.9890625,0.3100187852222918
55,1,1,0.9917431192660551,0.3613053613053613
58,1,1,0.9944444444444445,0.3601516919486581
61,1,1,0.9961538461538462,0.360466472303207
64,1,1,0.9983606557377049,0.3925988700564972
67,1,1,0.9971428571428571,0.40431131019036953
70,1,1,0.9961538461538462,0.4019629837352776
73,1,1,1,0.40084175084175083
76,1,1,1,0.4451312910284464
79,1,1,1,0.4503003823047515
82,1,1,1,0.4509279475982533
85,1,1,1,0.4905149051490515
88,1,1,1,0.4851409978308026
91,1,1,1,0.48796747967479676
94,1,1,1,0.5072086720867208
97,1,1,1,0.5235485621269669
100,1,1,1,0.5237655995659252
103,1,1,1,0.513929539295393
106,1,1,1,0.5521311475409836
109,1,1,1,0.5587397260273973
112,1,1,1,0.545092693565976
115,1,1,1,0.5896878483835005
118,1,1,1,0.589025069637883
121,1,1,1,0.5846666666666667
124,1,1,1,0.6115646258503401
127,1,1,1,0.6156516789982925
130,1,1,1,0.6176738882554161
133,1,1,1,0.6214530892448512
136,1,1,1,0.6436694021101993
139,1,1,1,0.6386946386946387
142,1,1,1,0.6454492072812683
145,1,1,1,0.6728214503351615
148,1,1,1,0.675
151,1,1,1,0.6663850331925166
154,1,1,1,0.6883198001249219
157,1,1,1,0.6935727788279773
160,1,1,1,0.6913370998116761
163,1,1,1,0.6917085427135679
166,1,1,1,0.7215425531914894
169,1,1,1,0.7163815789473684
172,1,1,1,0.7105981794538362
175,1,1,1,0.7329925017041582
178,1,1,1,0.7318830727396329
181,1,1,1,0.7344049247606019
184,1,1,1,0.7472496473906911
187,1,1,1,0.765040650406504
190,1,1,1,0.7550359712230216
193,1,1,1,0.7474612129760225
196,1,1,1,0.7761650114591291
199,1,1,1,0.7713102409638555
202,1,1,1,0.7748097412480974
205,1,1,1,0.7869565217391304
208,1,1,1,0.7882632831086439
211,1,1,1,0.7868878357030016
214,1,1,1,0.7978688524590164
217,1,1,1,0.8025
220,1,1,1,0.80530749789385
223,1,1,1,0.8033444816053512
226,1,1,1,0.8171075837742504
229,1,1,1,0.8136521739130435
232,1,1,1,0.8111111111111111
235,1,1,1,0.8322671683913453
238,1,1,1,0.8278597785977859
241,1,1,1,0.8334910122989593
244,1,1,1,0.8383349467570184
247,1,1,1,0.8414538310412574
250,1,1,1,0.8382011605415861
253,1,1,1,0.8447105788423154
256,1,1,1,0.8555438225976769
259,1,1,1,0.8496417604912999
262,1,1,1,0.8626373626373627
265,1,1,1,0.8710982658959537
268,1,1,1,0.8616812227074235
271,1,1,1,0.8647385984427142
274,1,1,1,0.8673446327683616
277,1,1,1,0.8810110974106042
280,1,1,1,0.8752075919335706
283,1,1,1,0.8711316397228638
286,1,1,1,0.8852604828462516
289,1,1,1,0.8814585908529048
292,1,1,1,0.882111801242236
295,1,1,1,0.8931359353970391
298,1,1,1,0.8932614555256064
301,1,1,1,0.8879533678756477
304,1,1,1,0.8948228882833787
307,1,1,1,0.892379679144385
310,1,1,1,0.9020231213872832
313,1,1,1,0.8984550561797753
316,1,1,1,0.9072617246596066
319,1,1,1,0.9038179148311307
322,1,1,1,0.9121835443037974
325,1,1,1,0.9053571428571429
328,1,1,1,0.9085626911314985
331,1,1,1,0.91328
334,1,1,1,0.9155482815057283
337,1,1,1,0.9195911413969335
340,1,1,1,0.9163097199341022
